denovo,native,one_min_TMscore
HQFBUDOV_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.1473500000000001
ADWFEIQJ_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.15158499999999997
AAFPVISG_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.15657
FIRTLMMN_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.15992499999999998
ALFXTBUK_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1zo2a1.ent,0.16355999999999993
CIEXSFVX_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.16544000000000003
ADMCECRY_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1zo2a1.ent,0.16569499999999993
AAEVPXPD_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.16586500000000004
BFEFESSN_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3fsda_.ent,0.16679500000000003
BOHAWEWJ_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.166875
BBWJAGUM_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.16693000000000002
AXWXKGLV_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.1689099999999999
RQGNRSBF_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.17019000000000006
DJHIPTJG_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.17130500000000004
ABELFZLW_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.17131000000000007
BZVAYQNU_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1tuha_.ent,0.17168000000000005
BFYQVIJL_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17208
AUCCPJYJ_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17269
BPQJPXMM_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17285499999999998
APHRBEUD_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1tuha_.ent,0.17359000000000002
KLRONISL_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17361500000000007
AAERWEVX_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17374999999999996
PQLUUAZO_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17379
GWWBBDLA_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d1gy6a_.ent,0.17381999999999997
AEEPMMKI_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.17407499999999998
AMESCTAU_BasicBeNTF2_designed_0000,/home/basantab/NTF2_project/20190116_AnalysisForThesis/Chip2_diversity/natives/d3d9ra1.ent,0.174605
